sentence,emotion
Annemle tartıştığımızda bazen onu kırıyorum.,sadness
mesaiye kalınca sinirlenirim.,anger
Yerde gördüğüm çöplerden.,disgust
Bu yüzden ticaret merkezi sayesinde kaynak alma ve satma mümkündür .,neutral
yüksek bir balkondan baktığımda korkmuştum.,fear
Bir erkek beni kandırdığında öfkelenirim.,anger
Zamanımın boş yere harcanması.,anger
ülkemin şu anki durumundan korkuyorum.,fear
Daha sonraki sezonlar oyun tecrübesi edinebilmesi için kiralık birkaç alt kademe takımında forma giydi .,neutral
Kötü insanlardan korkarım.,fear
Karşıdan gelen arabanın yaptığı kazayı gördüğümde çok korktum.,fear
Alışveriş merkezlerinde tuvalete girmekten tiksiniyorum.,disgust
babamın ölümüne çok üzüldüm.,sadness
söz verip zamanımı çalanlara öfkelenirim. bu bir hırsızlık üstelik telafisi yok.,anger
Egoistlik ve haksızlık.,anger
Dolayısıyla Allah hakkında herhangi bir kesin yargıya varmak mümkün değildir .,neutral
Coğrafya alanında yüksek dağlarla ilgili araştırmalarıyla dikkat çekmiştir .,neutral
Kendimi savunma şansı verilmediği  zaman öfkeleniyorum.,anger
Böylece daha ağır şartlar altında kredi veren rakiplerini saf dışı etmiştir .,neutral
Arkadaşımla kavga etmiştik o da benim en sevdiğim eşyamı kırmıştı.,anger
Bir kişinin karşımda burnunu karıştırmasından hoşlanmam.,disgust
Arkadaşlarımın ve ailemin güzel bir sözü bile mutlu eder.,happiness
Hoşlandığım kızın beni arkadaş olarak görmesi.,sadness
Annem bana hediye aldığında.,happiness
Balgamdan tiksinirim.,disgust
canım sıkıldığında yapacak bir şey olmadığını bilmek beni kahreder,sadness
Ailemden her hangi birisine bir şey olursa.,sadness
Fizik sınavından düşük not aldığım için üzüldüm.,sadness
Ailemle kavga ettiğimde.,sadness
Böceklerden tiksinirim.,disgust
Böylece onları listenin başında yer alan ilk Koreli grup yaptı .,neutral
Düşük not alınca üzülürüm.,sadness
Savaşların yaşanması.,sadness
Basketbol oynadığımda.,happiness
Arkadaşım içki içip  nasıl kustuğunu anlattığı zaman.,disgust
Şimşek çakması.,fear
Eşimin hamile olduğunu duyunca çıldırdım.,happiness
Caminin yanında bir de su sarnıcı vardır .,neutral
Progresif metal öğelerinin görülmeye başladığı ilk Death albümdür .,neutral
Sevdiklerimi kaybetme korkusu.,fear
